Tarih	GunAdi	Miladi Tarih	Hicri Tarih	İmsak	Güneş	Öğle	İkindi	Akşam	Yatsı
2027-09-18	Cumartesi	18 Eylül 2027 Cumartesi	17 Rebiulahir 1449	05:09	06:34	12:57	16:26	19:11	20:25
2027-09-19	Pazar	19 Eylül 2027 Pazar	18 Rebiulahir 1449	05:10	06:35	12:57	16:25	19:09	20:23
2027-09-20	Pazartesi	20 Eylül 2027 Pazartesi	19 Rebiulahir 1449	05:11	06:36	12:57	16:24	19:07	20:21
2027-09-21	Salı	21 Eylül 2027 Salı	20 Rebiulahir 1449	05:12	06:37	12:56	16:22	19:06	20:19
2027-09-22	Çarşamba	22 Eylül 2027 Çarşamba	21 Rebiulahir 1449	05:13	06:38	12:56	16:21	19:04	20:18
2027-09-23	Perşembe	23 Eylül 2027 Perşembe	22 Rebiulahir 1449	05:14	06:39	12:55	16:20	19:02	20:16
2027-09-24	Cuma	24 Eylül 2027 Cuma	23 Rebiulahir 1449	05:15	06:40	12:55	16:19	19:00	20:14
2027-09-25	Cumartesi	25 Eylül 2027 Cumartesi	24 Rebiulahir 1449	05:16	06:41	12:55	16:18	18:59	20:12
2027-09-26	Pazar	26 Eylül 2027 Pazar	25 Rebiulahir 1449	05:17	06:42	12:54	16:17	18:57	20:11
2027-09-27	Pazartesi	27 Eylül 2027 Pazartesi	26 Rebiulahir 1449	05:19	06:43	12:54	16:15	18:55	20:09
2027-09-28	Salı	28 Eylül 2027 Salı	27 Rebiulahir 1449	05:20	06:44	12:54	16:14	18:54	20:07
2027-09-29	Çarşamba	29 Eylül 2027 Çarşamba	28 Rebiulahir 1449	05:21	06:45	12:53	16:13	18:52	20:05
2027-09-30	Perşembe	30 Eylül 2027 Perşembe	29 Rebiulahir 1449	05:22	06:46	12:53	16:12	18:50	20:04
2027-10-01	Cuma	01 Ekim 2027 Cuma	1 Cemaziyelevvel 1449	05:23	06:47	12:53	16:11	18:49	20:02
2027-10-02	Cumartesi	02 Ekim 2027 Cumartesi	2 Cemaziyelevvel 1449	05:24	06:48	12:52	16:10	18:47	20:00
2027-10-03	Pazar	03 Ekim 2027 Pazar	3 Cemaziyelevvel 1449	05:25	06:49	12:52	16:08	18:45	19:59
2027-10-04	Pazartesi	04 Ekim 2027 Pazartesi	4 Cemaziyelevvel 1449	05:26	06:50	12:52	16:07	18:44	19:57
2027-10-05	Salı	05 Ekim 2027 Salı	5 Cemaziyelevvel 1449	05:27	06:51	12:51	16:06	18:42	19:55
2027-10-06	Çarşamba	06 Ekim 2027 Çarşamba	6 Cemaziyelevvel 1449	05:28	06:52	12:51	16:05	18:41	19:54
2027-10-07	Perşembe	07 Ekim 2027 Perşembe	7 Cemaziyelevvel 1449	05:29	06:53	12:51	16:04	18:39	19:52
2027-10-08	Cuma	08 Ekim 2027 Cuma	8 Cemaziyelevvel 1449	05:30	06:54	12:51	16:02	18:37	19:50
2027-10-09	Cumartesi	09 Ekim 2027 Cumartesi	9 Cemaziyelevvel 1449	05:31	06:55	12:50	16:01	18:36	19:49
2027-10-10	Pazar	10 Ekim 2027 Pazar	10 Cemaziyelevvel 1449	05:32	06:56	12:50	16:00	18:34	19:47
2027-10-11	Pazartesi	11 Ekim 2027 Pazartesi	11 Cemaziyelevvel 1449	05:33	06:57	12:50	15:59	18:33	19:46
2027-10-12	Salı	12 Ekim 2027 Salı	12 Cemaziyelevvel 1449	05:34	06:58	12:49	15:58	18:31	19:44
2027-10-13	Çarşamba	13 Ekim 2027 Çarşamba	13 Cemaziyelevvel 1449	05:35	06:59	12:49	15:56	18:29	19:43
2027-10-14	Perşembe	14 Ekim 2027 Perşembe	14 Cemaziyelevvel 1449	05:36	07:00	12:49	15:55	18:28	19:41
2027-10-15	Cuma	15 Ekim 2027 Cuma	15 Cemaziyelevvel 1449	05:37	07:01	12:49	15:54	18:26	19:40
2027-10-16	Cumartesi	16 Ekim 2027 Cumartesi	16 Cemaziyelevvel 1449	05:38	07:02	12:49	15:53	18:25	19:38
2027-10-17	Pazar	17 Ekim 2027 Pazar	17 Cemaziyelevvel 1449	05:39	07:03	12:48	15:52	18:23	19:37
2027-10-18	Pazartesi	18 Ekim 2027 Pazartesi	18 Cemaziyelevvel 1449	05:41	07:04	12:48	15:51	18:22	19:35
